"Query_sequence","Most_common_class.level.assignment","Class.level_assignment","Most_common_order.level.assignment","Order.level_assignment","Most_common_family.level.assignment","Family.level_assignment","Taxon_assignment","Likelihood_weight","otu","Extraction_ID","Tree_ID","site_ID"
"EUSF1471_ITS1F_G01_cleaned.ab1","Pezizomycetes","Pezizomycetes","Pezizales","Pezizales","Pezizaceae","Pezizaceae","Peziza_praetervisa,Peziza_proteana,Peziza_lobulata","0.997457","OTU243","EUSF01471","S4T1","S4"
"EUSF1472_ITS1F_H01_cleaned.ab1","Dothideomycetes","Dothideomycetes","Pleosporales","Pleosporales","Sporormiaceae","Sporormiaceae","Westerdykella_cylindrica,Preussia_minima","0.198046, 0.145861, 0.111028, 0.108654, 0.106554, 0.076839, 0.074317, 0.072795, 0.053130, 0.040882","OTU74","EUSF01472","S4T2","S4"
"EUSF1517_ITS1F_A02_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Cladosporiaceae","Cladosporiaceae","Cladosporium_cladosporioides","0.999895","OTU11","EUSF01517","S4T3","S4"
"EUSF1518_ITS1F_B02_cleaned.ab1","Dothideomycetes","Dothideomycetes","unclassified","unclassified,Capnodiales","unclassified","unclassified,Neodevriesiaceae","Tripospermum_myrti,Dothideomycetes_sp_TRN152,Dothideomycetes_sp_TRN153,Dothideomycetes_sp_TRN142,Neodevriesia_strelitziae","0.260204, 0.167477, 0.163028, 0.163018, 0.163016, 0.027944, 0.025637","OTU149","EUSF01518","S4T3","S4"
"EUSF1520_ITS1F_D02_cleaned.ab1","Dothideomycetes","Dothideomycetes","Botryosphaeriales","Botryosphaeriales","Botryosphaeriaceae","Botryosphaeriaceae","Neofusicoccum_kwambonambiense,Neofusicoccum_ribis","0.977272","OTU45","EUSF01520","S4T3","S4"
"EUSF1521_ITS1F_E02_cleaned.ab1","Dothideomycetes","Dothideomycetes","Pleosporales","Pleosporales","Pleosporaceae","Pleosporaceae","Pleospora_herbarum","0.990633","OTU38","EUSF01521","S4T3","S4"
"EUSF1522_ITS1F_F02_cleaned.ab1","Dothideomycetes","Dothideomycetes","Pleosporales","Pleosporales","Pleosporaceae","Pleosporaceae","Pleospora_herbarum","0.913658, 0.045848","OTU107","EUSF01522","S4T3","S4"
"EUSF1523_ITS1F_G02_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Cladosporiaceae","Cladosporiaceae","Cladosporium_cladosporioides","0.999895","OTU11","EUSF01523","S4T3","S4"
"EUSF1524_ITS1F_H02_cleaned.ab1","Sordariomycetes","Sordariomycetes","Xylariales","Xylariales","Xylariaceae","Xylariaceae","Nemania_aenea","0.584094, 0.216533, 0.196873","OTU215","EUSF01524","S4T3","S4"
"EUSF1525_ITS1F_A03_cleaned.ab1","Sordariomycetes","Sordariomycetes","Xylariales","Xylariales","Xylariaceae","Xylariaceae","Nemania_aenea","0.584079, 0.216540, 0.196881","OTU19","EUSF01525","S4T4","S4"
"EUSF1526_ITS1F_B03_cleaned.ab1","Pezizomycetes","Pezizomycetes","Pezizales","Pezizales","Pyronemataceae","Pyronemataceae","Tricharina_praecox","1","OTU199","EUSF01526","S4T4","S4"
"EUSF1527_ITS1F_C03_cleaned.ab1","Sordariomycetes","Sordariomycetes","Xylariales","Xylariales","Xylariaceae","Xylariaceae","Nemania_aenea,Geniculisynnema_termiticola,Nemania_serpens","0.667688, 0.178178, 0.138622","OTU152","EUSF01527","S4T4","S4"
"EUSF1528_ITS1F_D03_cleaned.ab1","Sordariomycetes","Sordariomycetes","Sordariales","Sordariales","Chaetomiaceae","Chaetomiaceae","Chaetomium_elatum","1","OTU262","EUSF01528","S4T4","S4"
"EUSF1529_ITS1F_E03_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Cladosporiaceae","Cladosporiaceae","Cladosporium_cladosporioides","0.999895","OTU11","EUSF01529","S4T4","S4"
"EUSF1530_ITS1F_F03_cleaned.ab1","Pezizomycetes","Pezizomycetes","Pezizales","Pezizales","Pezizaceae","Pezizaceae","Peziza_praetervisa,Peziza_lobulata","0.995639","OTU131","EUSF01530","S4T4","S4"
"EUSF1531_ITS1F_G03_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Cladosporiaceae","Cladosporiaceae","Cladosporium_cladosporioides","0.999902","OTU161","EUSF01531","S4T4","S4"
