Date,culture_id,motu_id,full_culture_ID
2017-06-09,319,MOTU018,ZUSF00319
2017-06-09,564,MOTU018,ZUSF00564
2017-06-09,581,MOTU018,ZUSF00581
2017-06-09,576,MOTU018,ZUSF00576
2017-06-09,582,MOTU018,ZUSF00582
2017-06-09,313,MOTU018,ZUSF00313
2017-06-09,578,MOTU018,ZUSF00578
2017-06-09,466,MOTU018,ZUSF00466
2017-06-09,558,MOTU019,ZUSF00558
2017-06-09,430,MOTU019,ZUSF00430
2017-06-09,394,MOTU019,ZUSF00394
2017-06-09,433,MOTU019,ZUSF00433
2017-06-09,399,MOTU019,ZUSF00399
2017-06-09,214,MOTU020,ZUSF00214
2017-06-09,542,MOTU020,ZUSF00542
2017-06-09,320,MOTU020,ZUSF00320
2017-06-09,210,MOTU020,ZUSF00210
2017-06-09,205,MOTU020,ZUSF00205
2017-06-09,478,MOTU020,ZUSF00478
2017-06-09,490,MOTU020,ZUSF00490
2017-06-09,344,MOTU020,ZUSF00344
2017-06-09,477,MOTU020,ZUSF00477
2017-06-09,512,MOTU020,ZUSF00512
2017-06-09,173,MOTU021,ZUSF00173
2017-06-09,166,MOTU021,ZUSF00166
2017-06-09,288,MOTU022,ZUSF00288
2017-06-09,358,MOTU022,ZUSF00358
2017-06-09,286,MOTU022,ZUSF00286
2017-06-09,179,MOTU022,ZUSF00179
2017-06-09,623,MOTU022,ZUSF00623
2017-06-09,544,MOTU022,ZUSF00544
2017-06-09,535,MOTU023,ZUSF00535
2017-06-09,537,MOTU023,ZUSF00537
2017-06-09,569,MOTU023,ZUSF00569
2017-06-09,592,MOTU024,ZUSF00592
2017-06-09,508,MOTU024,ZUSF00508
2017-06-09,629,MOTU024,ZUSF00629
2017-06-09,575,MOTU024,ZUSF00575
2017-06-09,365,MOTU024,ZUSF00365
2017-06-09,585,MOTU024,ZUSF00585
2017-06-09,536,MOTU024,ZUSF00536
2017-06-09,525,MOTU024,ZUSF00525
2017-06-09,647,MOTU024,ZUSF00647
2017-06-09,511,MOTU024,ZUSF00511
2017-06-09,452,MOTU024,ZUSF00452
2017-06-09,337,MOTU024,ZUSF00337
2017-06-09,364,MOTU024,ZUSF00364
2017-06-09,523,MOTU024,ZUSF00523
2017-06-09,561,MOTU024,ZUSF00561
2017-06-09,639,MOTU024,ZUSF00639
2017-06-09,472,MOTU025,ZUSF00472
2017-06-09,323,MOTU025,ZUSF00323
2017-06-09,400,MOTU025,ZUSF00400
2017-06-09,352,MOTU025,ZUSF00352
2017-06-09,589,MOTU025,ZUSF00589
2017-06-09,469,MOTU025,ZUSF00469
2017-06-09,591,MOTU025,ZUSF00591
2017-06-09,426,MOTU025,ZUSF00426
2017-06-09,401,MOTU025,ZUSF00401
2017-06-09,346,MOTU025,ZUSF00346
2017-06-09,374,MOTU025,ZUSF00374
