ID_Culture,IDf_Plant_tissue_sample,IDf_Culture_subcultured_from,IDf_Storage_location,IDf_Personnel,From_Label_ID,Label_ID,Genus,Species,Strain,Media_type,Plate_size,Location_plated,Sterilization_method_used,Date_cultured,Notes,z_RecordCreationTimestamp,z_RecordModificationTimestamp,z_RecordCreationAccount,z_RecordModificationAccount
,,,,EmmaG,S1T4,ZUSF00366,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S1T4,ZUSF00367,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S2T1,ZUSF00368,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S2T1,ZUSF00369,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S2T1,ZUSF00370,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S2T1,ZUSF00371,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S2T1,ZUSF00372,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S2T1,ZUSF00373,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S2T1,ZUSF00374,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S2T1,ZUSF00375,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S2T1,ZUSF00376,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S2T1,ZUSF00377,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S2T1,ZUSF00378,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S2T1,ZUSF00379,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S2T1,ZUSF00380,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S2T1,ZUSF00381,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S2T1,ZUSF00382,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S2T1,ZUSF00383,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
,,,,EmmaG,S2T1,ZUSF00384,,,,MEA,35mm,BS65124,,2017-05-18,,,,,
