"Query_sequence","Most_common_class.level.assignment","Class.level_assignment","Most_common_order.level.assignment","Order.level_assignment","Most_common_family.level.assignment","Family.level_assignment","Taxon_assignment","Likelihood_weight","otu","Extraction_ID","Tree_ID","site_ID"
"EUSF0848_ITS1F_F06_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Mycosphaerellaceae","Mycosphaerellaceae","Ramularia_endophylla,Zymoseptoria_tritici","0.443956, 0.343666, 0.206628","OTU109","EUSF0848","S3T5","S3"
"EUSF0850_ITS1F_H06_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Mycosphaerellaceae","Mycosphaerellaceae","Ramularia_endophylla,Zymoseptoria_tritici","0.443956, 0.343666, 0.206628","OTU109","EUSF0850","S3T5","S3"
"EUSF0851_ITS1F_A07_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Mycosphaerellaceae","Mycosphaerellaceae","Pseudocercospora_fijiensis","0.999991","OTU8","EUSF0851","S3T5","S3"
"EUSF0852_ITS1F_B07_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Cladosporiaceae","Cladosporiaceae","Cladosporium_cladosporioides","0.999895","OTU11","EUSF0852","S3T5","S3"
"EUSF0853_ITS1F_C07_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Mycosphaerellaceae","Mycosphaerellaceae","Ramularia_endophylla,Zymoseptoria_tritici","0.443956, 0.343666, 0.206628","OTU109","EUSF0853","S3T5","S3"
"EUSF0854_ITS1F_D07_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Mycosphaerellaceae","Mycosphaerellaceae","Ramularia_endophylla,Zymoseptoria_tritici","0.443956, 0.343666, 0.206628","OTU109","EUSF0854","S3T5","S3"
"EUSF0856_ITS1F_F07_cleaned.ab1","Eurotiomycetes","Eurotiomycetes","Eurotiales","Eurotiales","Aspergillaceae","Aspergillaceae","Penicillium_viridicatum,Penicillium_freii","0.895740, 0.069317","OTU44","EUSF0856","S3T5","S3"
"EUSF0857_ITS1F_G07_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Mycosphaerellaceae","Mycosphaerellaceae","Ramularia_endophylla,Zymoseptoria_tritici","0.443956, 0.343666, 0.206628","OTU109","EUSF0857","S3T5","S3"
"EUSF0859_ITS1F_A08_cleaned.ab1","Sordariomycetes","Sordariomycetes","Xylariales","Xylariales","Xylariaceae","Xylariaceae","Kretzschmaria_deusta","1","OTU182","EUSF0859","S3T5","S3"
"EUSF0860_ITS1F_B08_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Mycosphaerellaceae","Mycosphaerellaceae","Ramularia_endophylla,Zymoseptoria_tritici","0.443956, 0.343666, 0.206628","OTU109","EUSF0860","S3T5","S3"
"EUSF0861_ITS1F_C08_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Mycosphaerellaceae","Mycosphaerellaceae","Ramularia_endophylla,Zymoseptoria_tritici","0.443956, 0.343666, 0.206628","OTU109","EUSF0861","S3T5","S3"
"EUSF0862_ITS1F_D08_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Mycosphaerellaceae","Mycosphaerellaceae","Ramularia_endophylla","1","OTU150","EUSF0862","S3T5","S3"
"EUSF0863_ITS1F_E08_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Mycosphaerellaceae","Mycosphaerellaceae","Ramularia_endophylla,Zymoseptoria_tritici","0.443956, 0.343666, 0.206628","OTU109","EUSF0863","S3T5","S3"
"EUSF0864_ITS1F_F08_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Mycosphaerellaceae","Mycosphaerellaceae","Ramularia_endophylla,Zymoseptoria_tritici","0.443956, 0.343666, 0.206628","OTU109","EUSF0864","S3T5","S3"
