ID_Culture_event,IDf_Plant_experimental_treatment,IDf_Culture,IDf_Personnel,Date,Time,Label_ID,Status,Morphology,Culture_diameter_cm,Image_path,Data_path,Notes,z_RecordCreationTimestamp,z_RecordModificationTimestamp,z_RecordCreationAccount,z_RecordModificationAccount
,,,Emma,2017-03-31,12:09,ZUSF00018,no growth,,,,,,,,,
,,,Emma,2017-03-31,12:09,ZUSF00019,contaminated ?,,,,,stuck to top,,,,
,,,Emma,2017-03-31,12:09,ZUSF00020,no growth,,,,,,,,,
,,,Emma,2017-03-31,12:09,ZUSF00021,no growth,,,,,stuck to top,,,,
,,,Emma,2017-03-31,12:09,ZUSF00022,no growth,,,,,,,,,
,,,Emma,2017-03-31,12:09,ZUSF00023,no growth,,,,,,,,,
,,,Emma,2017-03-31,12:09,ZUSF00024,no growth,,,,,,,,,
,,,Emma,2017-03-31,12:09,ZUSF00025,bacterial,,,,,,,,,
,,,Emma,2017-03-31,12:09,ZUSF00026,bacterial,,,,,,,,,
,,,Emma,2017-03-31,12:09,ZUSF00027,no growth,,,,,,,,,
,,,Emma,2017-03-31,12:09,ZUSF00028,no growth,,,,,,,,,
,,,Emma,2017-03-31,12:09,ZUSF00029,ok,,,,,,,,,
,,,Emma,2017-03-31,12:09,ZUSF00030,no growth,,,,,,,,,
,,,Emma,2017-03-31,12:15,ZUSF00031,ok ,,,,,,,,,
,,,Emma,2017-03-31,12:15,ZUSF00032,no growth,,,,,,,,,
,,,Emma,2017-03-31,12:15,ZUSF00033,no growth,,,,,,,,,
,,,Emma,2017-03-31,12:15,ZUSF00034,no growth,,,,,,,,,
,,,Emma,2017-03-31,12:15,ZUSF00035,no growth,,,,,,,,,
,,,Emma,2017-03-31,12:15,ZUSF00036,no growth,,,,,,,,,
,,,Emma,2017-03-31,12:15,ZUSF00037,no growth,,,,,,,,,
,,,Emma,2017-03-31,12:15,ZUSF00038,no growth,,,,,,,,,
,,,Emma,2017-03-31,12:15,ZUSF00039,no growth,,,,,,,,,
,,,Emma,2017-03-31,12:15,ZUSF00040,no growth,,,,,,,,,
,,,Emma,2017-03-31,12:15,ZUSF00041,no growth,,,,,,,,,
,,,Emma,2017-03-31,12:15,ZUSF00042,no growth,,,,,,,,,
,,,Emma,2017-03-31,12:15,ZUSF00043,no growth,,,,,,,,,
,,,Emma,2017-03-31,12:15,ZUSF00044,no growth,,,,,,,,,
,,,Emma,2017-03-31,12:15,ZUSF00045,no growth,,,,,,,,,
,,,Emma,2017-03-31,12:15,ZUSF00046,no growth,,,,,,,,,
,,,Emma,2017-03-31,12:15,ZUSF00047,no growth,,,,,,,,,
