Query sequence,Most common phylum-level assignment,Phylum-level assignment,Most common order-level assignment,Order-level assignment,Taxon assignment,otu,otu_references
EUSF01611,Ascomycota,Ascomycota,Pezizales,Pezizales,"71_Peziza_proteana_f_sparassoides,507_Peziza_vesiculosa",OTU53,
EUSF00893,Ascomycota,Ascomycota,Sordariomycetes incertae sedis,Sordariomycetes incertae sedis,1081_Magnaporthe_grisea,OTU423,
EUSF01613,Ascomycota,Ascomycota,Helotiales,"Helotiales,Rhytismatales","147_Coccomyces_dentatus,744_Potebniamyces_pyri,166_Cudoniella_clavus,1_Leotia_lubrica,49_Lachnum_virgineum,941_Dermea_acerina,151_Chlorociboria_aeruginosa,76_Mollisia_cinerea,279_Monilinia_fructicola,59_Botrytis_cinerea",OTU723,OTU685
EUSF01614,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU353,
EUSF00894,Ascomycota,Ascomycota,Sordariomycetes incertae sedis,Sordariomycetes incertae sedis,1081_Magnaporthe_grisea,OTU397,
EUSF00897,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU8,
EUSF01617,Ascomycota,Ascomycota,Pleosporales,Pleosporales,940_Pleospora_herbarum,OTU428,
EUSF01378,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU454,"OTU455,OTU458,OTU478,OTU479,OTU473,OTU459,OTU476,OTU453,OTU486,OTU457,OTU472,OTU484,OTU460,OTU461,OTU488,OTU508,OTU504,OTU495,OTU487,OTU493,OTU505,OTU507,OTU509,OTU521,OTU519,OTU518,OTU516,OTU522,OTU514,OTU524,OTU537,OTU538,OTU387,OTU396,OTU395,OTU408,OTU409,OTU411,OTU406,OTU405,OTU646,OTU647,OTU649,OTU639,OTU642,OTU637,OTU643,OTU648,OTU528,OTU515,OTU530,OTU517,OTU523,OTU578,OTU569,OTU589,OTU579,OTU577,OTU594,OTU600,OTU603,OTU606,OTU620,OTU614,OTU613,OTU612,OTU574,OTU588,OTU592,OTU571,OTU621,OTU609,OTU622,OTU610,OTU630,OTU632,OTU634,OTU626,OTU375,OTU368,OTU369,OTU564,OTU560,OTU553,OTU679,OTU678,OTU591,OTU570,OTU555,OTU557,OTU604,OTU596,OTU436,OTU439,OTU451,OTU477,OTU658,OTU659,OTU437,OTU441,OTU481,OTU640,OTU663,OTU576,OTU595,OTU611,OTU677,OTU1009,OTU625,OTU598,OTU566,OTU556,OTU631,OTU520,OTU503,OTU448,OTU206,OTU420,OTU445,OTU388,OTU354,OTU546,OTU602,OTU619,OTU377,OTU554,1005_Acarospora_schleicheri,64_Trichoglossum_hirsutum"
EUSF01371,Ascomycota,Ascomycota,Xylariales,Xylariales,63_Xylaria_acuta,OTU217,"OTU231,OTU225,OTU227,OTU229,OTU215,OTU230,OTU220,OTU224,OTU218,OTU232,OTU226,OTU323,OTU324,OTU320,OTU321,OTU325,OTU318,OTU345,OTU341,OTU346,OTU339,OTU338,51_Xylaria_hypoxylon,63_Xylaria_acuta,OTU664,OTU562,OTU573,OTU118,OTU119,OTU356,OTU963,OTU110"
EUSF01370,Ascomycota,Ascomycota,Xylariales,Xylariales,63_Xylaria_acuta,OTU963,
